ContigID	GOSlim_bin
gi|379077778|gb|JR975447.1|	other metabolic processes
gi|379112754|gb|JT010424.1|	RNA metabolism
gi|379113068|gb|JT010738.1|	signal transduction
gi|379115473|gb|JT013143.1|	cell organization and biogenesis
gi|379080703|gb|JR978372.1|	cell cycle and proliferation
gi|379114946|gb|JT012616.1|	stress response
gi|379095104|gb|JR992773.1|	developmental processes
gi|379117258|gb|JT014928.1|	developmental processes
gi|379110167|gb|JT007837.1|	RNA metabolism
gi|379079411|gb|JR977080.1|	DNA metabolism
gi|379105578|gb|JT003248.1|	other metabolic processes
gi|379089419|gb|JR987088.1|	other biological processes
gi|379075164|gb|JR972833.1|	DNA metabolism
gi|379103722|gb|JT001392.1|	stress response
gi|379098589|gb|JR996258.1|	cell-cell signaling
gi|379080380|gb|JR978049.1|	other biological processes
gi|379098814|gb|JR996483.1|	signal transduction
gi|379078578|gb|JR976247.1|	other metabolic processes
gi|379100176|gb|JR997845.1|	cell cycle and proliferation
gi|379123515|gb|JT021185.1|	RNA metabolism
gi|379115530|gb|JT013200.1|	other metabolic processes
gi|379119159|gb|JT016829.1|	cell organization and biogenesis
gi|379105233|gb|JT002903.1|	other biological processes
gi|379103312|gb|JT000982.1|	stress response
gi|379114653|gb|JT012323.1|	other metabolic processes
gi|379082434|gb|JR980103.1|	other metabolic processes
gi|379096914|gb|JR994583.1|	stress response
gi|379082860|gb|JR980529.1|	signal transduction
gi|379089609|gb|JR987278.1|	other metabolic processes
gi|379098908|gb|JR996577.1|	RNA metabolism
gi|379084326|gb|JR981995.1|	developmental processes
gi|379088382|gb|JR986051.1|	other metabolic processes
gi|379074614|gb|JR972283.1|	protein metabolism
gi|379119700|gb|JT017370.1|	signal transduction
gi|379117967|gb|JT015637.1|	developmental processes
gi|379123824|gb|JT021494.1|	protein metabolism
gi|379110922|gb|JT008592.1|	developmental processes
gi|379097300|gb|JR994969.1|	signal transduction
gi|379090228|gb|JR987897.1|	transport
gi|379104921|gb|JT002591.1|	death
gi|379123868|gb|JT021538.1|	other metabolic processes
gi|379124591|gb|JT022261.1|	other biological processes
gi|379104998|gb|JT002668.1|	cell organization and biogenesis
gi|379081802|gb|JR979471.1|	death
gi|379098582|gb|JR996251.1|	cell-cell signaling
gi|379104105|gb|JT001775.1|	other metabolic processes
gi|379096238|gb|JR993907.1|	developmental processes
gi|379084484|gb|JR982153.1|	stress response
gi|379114706|gb|JT012376.1|	other biological processes
gi|379111640|gb|JT009310.1|	cell organization and biogenesis
gi|379117868|gb|JT015538.1|	transport
gi|379083385|gb|JR981054.1|	signal transduction
gi|379119439|gb|JT017109.1|	protein metabolism
gi|379110741|gb|JT008411.1|	other metabolic processes
gi|379078081|gb|JR975750.1|	developmental processes
gi|379095859|gb|JR993528.1|	protein metabolism
gi|379123295|gb|JT020965.1|	protein metabolism
gi|379083365|gb|JR981034.1|	developmental processes
gi|379092749|gb|JR990418.1|	other biological processes
gi|379106860|gb|JT004530.1|	other biological processes
gi|379107756|gb|JT005426.1|	other metabolic processes
gi|379073357|gb|JR971026.1|	RNA metabolism
gi|379083941|gb|JR981610.1|	transport
gi|379103020|gb|JT000690.1|	other biological processes
gi|379098211|gb|JR995880.1|	other biological processes
gi|379123296|gb|JT020966.1|	cell organization and biogenesis
gi|379101409|gb|JR999078.1|	developmental processes
gi|379092598|gb|JR990267.1|	other metabolic processes
gi|379077578|gb|JR975247.1|	cell adhesion
gi|379110598|gb|JT008268.1|	other metabolic processes
gi|379109470|gb|JT007140.1|	cell organization and biogenesis
gi|379078859|gb|JR976528.1|	other biological processes
gi|379097679|gb|JR995348.1|	other biological processes
gi|379086199|gb|JR983868.1|	protein metabolism
gi|379074330|gb|JR971999.1|	signal transduction
gi|379100759|gb|JR998428.1|	cell cycle and proliferation
gi|379088376|gb|JR986045.1|	cell cycle and proliferation
gi|379092152|gb|JR989821.1|	DNA metabolism
gi|379076824|gb|JR974493.1|	stress response
gi|379121834|gb|JT019504.1|	other biological processes
gi|379092538|gb|JR990207.1|	other biological processes
gi|379097449|gb|JR995118.1|	protein metabolism
gi|379113344|gb|JT011014.1|	developmental processes
gi|379109928|gb|JT007598.1|	stress response
gi|379110852|gb|JT008522.1|	cell-cell signaling
gi|379122379|gb|JT020049.1|	protein metabolism
gi|379099317|gb|JR996986.1|	protein metabolism
gi|379098105|gb|JR995774.1|	cell adhesion
gi|379110945|gb|JT008615.1|	other metabolic processes
gi|379111901|gb|JT009571.1|	stress response
gi|379114934|gb|JT012604.1|	other metabolic processes
gi|379121265|gb|JT018935.1|	stress response
gi|379124937|gb|JT022607.1|	other biological processes
gi|379090390|gb|JR988059.1|	death
gi|379114309|gb|JT011979.1|	transport
gi|379098474|gb|JR996143.1|	cell organization and biogenesis
gi|379076599|gb|JR974268.1|	cell organization and biogenesis
gi|379093116|gb|JR990785.1|	protein metabolism
gi|379112879|gb|JT010549.1|	DNA metabolism
gi|379111975|gb|JT009645.1|	other metabolic processes
gi|379096162|gb|JR993831.1|	other metabolic processes
gi|379094740|gb|JR992409.1|	protein metabolism
gi|379117686|gb|JT015356.1|	DNA metabolism
gi|379101567|gb|JR999236.1|	cell organization and biogenesis
gi|379091357|gb|JR989026.1|	signal transduction
gi|379113381|gb|JT011051.1|	transport
gi|379092703|gb|JR990372.1|	cell organization and biogenesis
gi|379079620|gb|JR977289.1|	cell organization and biogenesis
gi|379086135|gb|JR983804.1|	protein metabolism
gi|379109674|gb|JT007344.1|	cell cycle and proliferation
gi|379090505|gb|JR988174.1|	other biological processes
gi|379075977|gb|JR973646.1|	other metabolic processes
gi|379087225|gb|JR984894.1|	RNA metabolism
gi|379103293|gb|JT000963.1|	signal transduction
gi|379090349|gb|JR988018.1|	protein metabolism
gi|379114552|gb|JT012222.1|	transport
gi|379091489|gb|JR989158.1|	protein metabolism
gi|379086564|gb|JR984233.1|	cell adhesion
gi|379093307|gb|JR990976.1|	death
gi|379078646|gb|JR976315.1|	other biological processes
gi|379075446|gb|JR973115.1|	RNA metabolism
gi|379076646|gb|JR974315.1|	cell cycle and proliferation
gi|379110128|gb|JT007798.1|	other biological processes
gi|379087528|gb|JR985197.1|	DNA metabolism
gi|379094374|gb|JR992043.1|	other biological processes
gi|379083173|gb|JR980842.1|	other biological processes
gi|379095249|gb|JR992918.1|	protein metabolism
gi|379110026|gb|JT007696.1|	cell organization and biogenesis
gi|379108036|gb|JT005706.1|	transport
gi|379111793|gb|JT009463.1|	developmental processes
gi|379112845|gb|JT010515.1|	protein metabolism
gi|379112288|gb|JT009958.1|	cell adhesion
gi|379091347|gb|JR989016.1|	RNA metabolism
gi|379087232|gb|JR984901.1|	protein metabolism
gi|379115689|gb|JT013359.1|	DNA metabolism
gi|379121612|gb|JT019282.1|	transport
gi|379099835|gb|JR997504.1|	signal transduction
gi|379080466|gb|JR978135.1|	protein metabolism
gi|379077122|gb|JR974791.1|	cell organization and biogenesis
gi|379079129|gb|JR976798.1|	developmental processes
gi|379095611|gb|JR993280.1|	other biological processes
gi|379124478|gb|JT022148.1|	death
gi|379103342|gb|JT001012.1|	protein metabolism
gi|379118716|gb|JT016386.1|	cell-cell signaling
gi|379096109|gb|JR993778.1|	DNA metabolism
gi|379084882|gb|JR982551.1|	transport
gi|379118865|gb|JT016535.1|	other biological processes
gi|379095317|gb|JR992986.1|	other metabolic processes
gi|379104692|gb|JT002362.1|	other biological processes
gi|379122847|gb|JT020517.1|	other biological processes
gi|379117921|gb|JT015591.1|	transport
gi|379082546|gb|JR980215.1|	signal transduction
gi|379096146|gb|JR993815.1|	cell organization and biogenesis
gi|379115820|gb|JT013490.1|	RNA metabolism
gi|379115215|gb|JT012885.1|	cell cycle and proliferation
gi|379108601|gb|JT006271.1|	other biological processes
gi|379084757|gb|JR982426.1|	protein metabolism
gi|379086212|gb|JR983881.1|	other biological processes
gi|379122905|gb|JT020575.1|	developmental processes
gi|379103645|gb|JT001315.1|	other metabolic processes
gi|379087583|gb|JR985252.1|	signal transduction
gi|379113832|gb|JT011502.1|	stress response
gi|379108995|gb|JT006665.1|	cell adhesion
gi|379121449|gb|JT019119.1|	stress response
gi|379074478|gb|JR972147.1|	RNA metabolism
gi|379105478|gb|JT003148.1|	other metabolic processes
gi|379094773|gb|JR992442.1|	cell organization and biogenesis
gi|379093558|gb|JR991227.1|	RNA metabolism
gi|379125365|gb|JT023035.1|	other metabolic processes
gi|379099739|gb|JR997408.1|	developmental processes
gi|379092063|gb|JR989732.1|	stress response
gi|379080549|gb|JR978218.1|	transport
gi|379087342|gb|JR985011.1|	stress response
gi|379089660|gb|JR987329.1|	protein metabolism
gi|379076247|gb|JR973916.1|	other biological processes
gi|379080523|gb|JR978192.1|	other biological processes
gi|379082228|gb|JR979897.1|	stress response
gi|379125702|gb|JT023372.1|	other biological processes
gi|379108064|gb|JT005734.1|	cell organization and biogenesis
gi|379123146|gb|JT020816.1|	other biological processes
gi|379108599|gb|JT006269.1|	transport
gi|379117068|gb|JT014738.1|	cell cycle and proliferation
gi|379087724|gb|JR985393.1|	developmental processes
gi|379077279|gb|JR974948.1|	other metabolic processes
gi|379100939|gb|JR998608.1|	RNA metabolism
gi|379101460|gb|JR999129.1|	other biological processes
gi|379079691|gb|JR977360.1|	protein metabolism
gi|379110205|gb|JT007875.1|	other biological processes
gi|379088519|gb|JR986188.1|	stress response
gi|379105538|gb|JT003208.1|	cell organization and biogenesis
gi|379080713|gb|JR978382.1|	other biological processes
gi|379108472|gb|JT006142.1|	other biological processes
gi|379081124|gb|JR978793.1|	protein metabolism
gi|379115800|gb|JT013470.1|	transport
gi|379124531|gb|JT022201.1|	other biological processes
gi|379087308|gb|JR984977.1|	signal transduction
gi|379108946|gb|JT006616.1|	other metabolic processes
gi|379086927|gb|JR984596.1|	protein metabolism
gi|379098931|gb|JR996600.1|	other biological processes
gi|379111284|gb|JT008954.1|	transport
gi|379115813|gb|JT013483.1|	other biological processes
gi|379115154|gb|JT012824.1|	other metabolic processes
gi|379088375|gb|JR986044.1|	signal transduction
gi|379073686|gb|JR971355.1|	stress response
gi|379075536|gb|JR973205.1|	other biological processes
gi|379109390|gb|JT007060.1|	developmental processes
gi|379087875|gb|JR985544.1|	other biological processes
gi|379097418|gb|JR995087.1|	death
gi|379073813|gb|JR971482.1|	cell cycle and proliferation
gi|379108138|gb|JT005808.1|	signal transduction
gi|379093588|gb|JR991257.1|	transport
gi|379113345|gb|JT011015.1|	other metabolic processes
gi|379109115|gb|JT006785.1|	cell organization and biogenesis
gi|379100287|gb|JR997956.1|	other metabolic processes
gi|379072824|gb|JR970493.1|	cell-cell signaling
gi|379104112|gb|JT001782.1|	signal transduction
gi|379112221|gb|JT009891.1|	other metabolic processes
gi|379086050|gb|JR983719.1|	signal transduction
gi|379082446|gb|JR980115.1|	other biological processes
gi|379085291|gb|JR982960.1|	protein metabolism
