gi|379072747|gb|JR970416.1| 	 0.557002	 transport
gi|379072753|gb|JR970422.1| 	 0.995875	 other biological processes
gi|379072753|gb|JR970422.1| 	 0.995875	 transport
gi|379072756|gb|JR970425.1| 	 0.975518	 cell organization and biogenesis
gi|379072758|gb|JR970427.1| 	 0.401841	 cell adhesion
gi|379072759|gb|JR970428.1| 	 2.02664	 other biological processes
gi|379072759|gb|JR970428.1| 	 2.02664	 signal transduction
gi|379072759|gb|JR970428.1| 	 2.02664	 transport
gi|379072761|gb|JR970430.1| 	 2.85161	 RNA metabolism
gi|379072761|gb|JR970430.1| 	 2.85161	 other metabolic processes
gi|379072762|gb|JR970431.1| 	 0.855382	 DNA metabolism
gi|379072762|gb|JR970431.1| 	 0.855382	 cell cycle and proliferation
gi|379072762|gb|JR970431.1| 	 0.855382	 cell organization and biogenesis
gi|379072762|gb|JR970431.1| 	 0.855382	 other biological processes
gi|379072763|gb|JR970432.1| 	 1.18468	 other biological processes
gi|379072763|gb|JR970432.1| 	 1.18468	 other metabolic processes
gi|379072763|gb|JR970432.1| 	 1.18468	 protein metabolism
gi|379072764|gb|JR970433.1| 	 0.120073	 transport
gi|379072772|gb|JR970441.1| 	 1.39866	 cell organization and biogenesis
gi|379072772|gb|JR970441.1| 	 1.39866	 developmental processes
gi|379072772|gb|JR970441.1| 	 1.39866	 other biological processes
gi|379072772|gb|JR970441.1| 	 1.39866	 other metabolic processes
gi|379072772|gb|JR970441.1| 	 1.39866	 transport
gi|379072775|gb|JR970444.1| 	 0.528825	 RNA metabolism
gi|379072775|gb|JR970444.1| 	 0.528825	 cell organization and biogenesis
gi|379072775|gb|JR970444.1| 	 0.528825	 other biological processes
gi|379072779|gb|JR970448.1| 	 1.2166	 other metabolic processes
gi|379072782|gb|JR970451.1| 	 1.21899	 RNA metabolism
gi|379072782|gb|JR970451.1| 	 1.21899	 other biological processes
gi|379072785|gb|JR970454.1| 	 0.184108	 RNA metabolism
gi|379072785|gb|JR970454.1| 	 0.184108	 developmental processes
gi|379072788|gb|JR970457.1| 	 1.2219	 other biological processes
gi|379072794|gb|JR970463.1| 	 6.8338	 signal transduction
gi|379072794|gb|JR970463.1| 	 6.8338	 transport
gi|379072796|gb|JR970465.1| 	 3.0418	 other metabolic processes
gi|379072797|gb|JR970466.1| 	 0.0496668	 RNA metabolism
gi|379072797|gb|JR970466.1| 	 0.0496668	 cell organization and biogenesis
gi|379072797|gb|JR970466.1| 	 0.0496668	 other metabolic processes
gi|379072797|gb|JR970466.1| 	 0.0496668	 protein metabolism
gi|379072798|gb|JR970467.1| 	 1.04166	 cell organization and biogenesis
gi|379072798|gb|JR970467.1| 	 1.04166	 cell-cell signaling
gi|379072798|gb|JR970467.1| 	 1.04166	 developmental processes
gi|379072798|gb|JR970467.1| 	 1.04166	 other biological processes
gi|379072798|gb|JR970467.1| 	 1.04166	 transport
gi|379072801|gb|JR970470.1| 	 2.0939	 cell organization and biogenesis
gi|379072802|gb|JR970471.1| 	 0.0899086	 protein metabolism
gi|379072806|gb|JR970475.1| 	 0.252901	 other metabolic processes
gi|379072808|gb|JR970477.1| 	 2.07625	 other metabolic processes
gi|379072812|gb|JR970481.1| 	 0.454481	 DNA metabolism
gi|379072812|gb|JR970481.1| 	 0.454481	 stress response
gi|379072814|gb|JR970483.1| 	 0.754929	 RNA metabolism
gi|379072814|gb|JR970483.1| 	 0.754929	 other metabolic processes
gi|379072815|gb|JR970484.1| 	 0.521061	 RNA metabolism
gi|379072816|gb|JR970485.1| 	 0.35381	 other metabolic processes
gi|379072816|gb|JR970485.1| 	 0.35381	 protein metabolism
gi|379072818|gb|JR970487.1| 	 0.210679	 protein metabolism
gi|379072819|gb|JR970488.1| 	 0.26701	 developmental processes
gi|379072819|gb|JR970488.1| 	 0.26701	 other biological processes
gi|379072820|gb|JR970489.1| 	 0.405977	 other biological processes
gi|379072820|gb|JR970489.1| 	 0.405977	 transport
gi|379072821|gb|JR970490.1| 	 2.54321	 cell organization and biogenesis
gi|379072821|gb|JR970490.1| 	 2.54321	 other biological processes
gi|379072823|gb|JR970492.1| 	 0.632541	 other biological processes
gi|379072823|gb|JR970492.1| 	 0.632541	 protein metabolism
gi|379072824|gb|JR970493.1| 	 0.984568	 cell organization and biogenesis
gi|379072824|gb|JR970493.1| 	 0.984568	 cell-cell signaling
gi|379072824|gb|JR970493.1| 	 0.984568	 death
gi|379072824|gb|JR970493.1| 	 0.984568	 other biological processes
gi|379072824|gb|JR970493.1| 	 0.984568	 other metabolic processes
gi|379072824|gb|JR970493.1| 	 0.984568	 protein metabolism
gi|379072824|gb|JR970493.1| 	 0.984568	 signal transduction
gi|379072824|gb|JR970493.1| 	 0.984568	 stress response
gi|379072824|gb|JR970493.1| 	 0.984568	 transport
gi|379072826|gb|JR970495.1| 	 1.75179	 RNA metabolism
gi|379072826|gb|JR970495.1| 	 1.75179	 cell cycle and proliferation
gi|379072826|gb|JR970495.1| 	 1.75179	 cell organization and biogenesis
gi|379072826|gb|JR970495.1| 	 1.75179	 other metabolic processes
gi|379072826|gb|JR970495.1| 	 1.75179	 protein metabolism
gi|379072830|gb|JR970499.1| 	 3.88494	 other metabolic processes
gi|379072833|gb|JR970502.1| 	 2.28239	 protein metabolism
gi|379072834|gb|JR970503.1| 	 3.38171	 cell cycle and proliferation
gi|379072834|gb|JR970503.1| 	 3.38171	 cell organization and biogenesis
gi|379072834|gb|JR970503.1| 	 3.38171	 other biological processes
gi|379072834|gb|JR970503.1| 	 3.38171	 other metabolic processes
gi|379072834|gb|JR970503.1| 	 3.38171	 protein metabolism
gi|379072835|gb|JR970504.1| 	 2.45456	 other metabolic processes
gi|379072835|gb|JR970504.1| 	 2.45456	 signal transduction
gi|379072836|gb|JR970505.1| 	 2.01327	 DNA metabolism
gi|379072836|gb|JR970505.1| 	 2.01327	 other metabolic processes
gi|379072836|gb|JR970505.1| 	 2.01327	 stress response
gi|379072838|gb|JR970507.1| 	 0.339039	 DNA metabolism
