ContigID,GOSlim_bin
GCKDGN103GZQ3J,developmental processes
isotig03630,transport
GCKDGN103G9D8B,stress response
isotig20992,developmental processes
isotig30372,DNA metabolism
isotig19723,developmental processes
isotig20617,cell cycle and proliferation
GCKDGN101BS14I,DNA metabolism
isotig07465,stress response
isotig04383,cell organization and biogenesis
GCKDGN102EDPD0,other biological processes
GCKDGN102DRW68,DNA metabolism
isotig18870,other metabolic processes
isotig24303,RNA metabolism
isotig04566,other biological processes
GCKDGN101BYGLN,other biological processes
isotig25368,other metabolic processes
GCKDGN102D5S9K,cell organization and biogenesis
GCKDGN101AZ04H,other biological processes
GCKDGN101BFEWX,protein metabolism
isotig27661,RNA metabolism
isotig20844,signal transduction
GCKDGN102EOFCS,developmental processes
isotig19080,other metabolic processes
isotig05001,RNA metabolism
isotig09004,RNA metabolism
isotig20937,cell adhesion
isotig30397,other biological processes
isotig23358,other metabolic processes
GCKDGN101B1YFM,transport
isotig04908,cell organization and biogenesis
isotig20496,DNA metabolism
isotig05573,other biological processes
GCKDGN103GB5H2,RNA metabolism
GE908366,RNA metabolism
isotig17106,RNA metabolism
isotig18773,protein metabolism
GCKDGN103G6X8K,signal transduction
GCKDGN101BXHKC,RNA metabolism
isotig25202,developmental processes
GCKDGN103F3Y5Q,RNA metabolism
isotig29476,other metabolic processes
isotig10360,death
isotig03249,cell organization and biogenesis
isotig21017,protein metabolism
GCKDGN103G7TZA,other metabolic processes
isotig11862,other metabolic processes
isotig14511,protein metabolism
GCKDGN103GKKQL,signal transduction
isotig20447,protein metabolism
isotig28247,protein metabolism
isotig27715,signal transduction
isotig13951,signal transduction
isotig20603,other metabolic processes
GCKDGN101B36BJ,signal transduction
isotig22522,signal transduction
isotig08136,death
isotig16511,other biological processes
isotig02153,other biological processes
isotig05325,other biological processes
isotig22936,other metabolic processes
isotig07980,protein metabolism
GCKDGN101BVSUC,RNA metabolism
isotig16703,protein metabolism
GCKDGN102C559N,other metabolic processes
GCKDGN101BQS1Q,protein metabolism
isotig31194,cell cycle and proliferation
isotig30247,other metabolic processes
GCKDGN102DEI7O,developmental processes
isotig09133,developmental processes
isotig28608,stress response
isotig23164,other metabolic processes
isotig01718,developmental processes
isotig00204,protein metabolism
isotig00422,signal transduction
isotig26255,stress response
isotig19813,developmental processes
isotig12346,developmental processes
GCKDGN101AWN0G,other biological processes
isotig32254,other metabolic processes
isotig17783,other biological processes
isotig04933,other biological processes
isotig02046,other biological processes
isotig27246,protein metabolism
