GCKDGN101A00AO 	 0.383276 	 other biological processes 
GCKDGN101A00ZL 	 0.335379 	 cell organization and biogenesis
GCKDGN101A00ZL 	 0.335379 	 developmental processes  
GCKDGN101A00ZL 	 0.335379 	 stress response  
GCKDGN101A028J 	 0.524246 	 RNA metabolism  
GCKDGN101A028J 	 0.524246 	 other biological processes 
GCKDGN101A02W5 	 0.559472 	 transport   
GCKDGN101A03QE 	 0.177286 	 other metabolic processes 
GCKDGN101A03XE 	 0.618671 	 other metabolic processes 
GCKDGN101A0607 	 1.03824 	 protein metabolism  
GCKDGN101A06FB 	 0.207357 	 protein metabolism  
GCKDGN101A0884 	 0.876202 	 other biological processes 
GCKDGN101A08CL 	 0.342674 	 other metabolic processes 
GCKDGN101A08CL 	 0.342674 	 protein metabolism  
GCKDGN101A08WT 	 0.459782 	 other biological processes 
GCKDGN101A08WT 	 0.459782 	 transport   
GCKDGN101A096T 	 0.27233 	 other metabolic processes 
GCKDGN101A097A 	 0.679228 	 other biological processes 
GCKDGN101A097A 	 0.679228 	 other metabolic processes 
GCKDGN101A0ABX 	 0.180358 	 DNA metabolism  
GCKDGN101A0ABX 	 0.180358 	 stress response  
GCKDGN101A0AQ5 	 0.675474 	 other metabolic processes 
GCKDGN101A0CJ2 	 0.563532 	 developmental processes  
GCKDGN101A0CJ2 	 0.563532 	 other biological processes 
GCKDGN101A0CJ2 	 0.563532 	 signal transduction  
GCKDGN101A0I25 	 1.21563 	 developmental processes  
GCKDGN101A0I25 	 1.21563 	 other metabolic processes 
GCKDGN101A0I25 	 1.21563 	 protein metabolism  
GCKDGN101A0KR8 	 0.684808 	 other metabolic processes 
GCKDGN101A0KR8 	 0.684808 	 protein metabolism  
GCKDGN101A0KSC 	 1.03959 	 other biological processes 
GCKDGN101A0M5U 	 0.677973 	 transport   
GCKDGN101A0P88 	 0.697191 	 developmental processes  
GCKDGN101A0P88 	 0.697191 	 other metabolic processes 
GCKDGN101A0P88 	 0.697191 	 signal transduction  
GCKDGN101A0P88 	 0.697191 	 transport   
GCKDGN101A0Q54 	 0.869383 	 developmental processes  
GCKDGN101A0Q54 	 0.869383 	 other biological processes 
GCKDGN101A0Q54 	 0.869383 	 other metabolic processes 
GCKDGN101A0Q54 	 0.869383 	 protein metabolism  
GCKDGN101A0Q54 	 0.869383 	 signal transduction  
GCKDGN101A0QJB 	 0.251468 	 cell cycle and proliferation
